year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,lusi_annual,ZOOpjuvN,ZOObenN,ZOOpjuvS,ZOObenS,X,CutiSTIpjuv,CutiTUMIpjuv,Year,BeutiTUMIpjuv,Year.1,BeutiSTIpjuv,CHLpjuv,PPpjuv,bakun_sti
1993,30563.24435,,29306.65236,46516.10059,35567.78606,,10.07129035,14.91123668,12.17047034,11.1976823,0.01057192,0.009625221,0.007618363,-0.090959099,0.573462415,0.200683371,0.573462415,0.200683371,0.062222222,0.4,0.502,0.55,1.94,162,,,,,6,137.6666667,47.00933333,1993,556.325,1993,122,NA,NA,2.215486249
1994,32852.77689,30939.84855,28754.12298,41813.07803,37359.17155,10.71274509,10.02370941,13.92387539,12.03295812,10.84533222,0.014388176,0.010791482,-0.022227992,-0.120476505,0.295558087,0.170615034,0.295558087,0.170615034,0.135555556,0.12,0.402,0.55,0.134,177,,,,,7,93.66666667,50.25266667,1994,554.0475,1994,90,NA,NA,0.091893143
1995,34521.69972,30534.47165,32563.92312,41866.28126,38979.66309,11.45879821,10.56641062,15.05859704,11.84879909,10.91463807,0.013977656,0.014952145,-0.008593849,-0.1220054,0.197038724,0.262414579,0.197038724,0.262414579,0.718888889,0.625,-0.074,0.76,1.22,166,,,,,8,85,44.96333333,1995,571.2405,1995,85,NA,NA,-0.532693064
1996,35897.56115,35309.55426,31643.46951,41029.7258,35151.63507,11.02532076,10.81066615,15.12993445,11.8957015,11.20138152,0.020973353,0.013010835,-0.043861582,-0.121143672,0.10022779,0.312756264,0.10022779,0.312756264,-0.753333333,-0.67,-0.318,1.105,1.038,134,-0.477076114,0.21123601,0.082171164,-0.02765,9,123,55.81633333,1996,562.728,1996,115,NA,NA,1.216148317
1997,31841.63339,30660.95843,27106.38655,44850.35308,47657.21548,10.52898956,9.712904754,13.42029653,10.98845313,10.72521659,0.021049014,0.008812069,-0.074879495,-0.091839618,0.525056948,0.066287016,0.525056948,0.066287016,-0.36,-0.23,1.15,0.715,1.958,107,-0.331402624,-0.863642725,0.01720457,0.240013011,10,100.3333333,27.23766667,1997,518.5025,1997,88,NA,NA,0.549923029
1998,43451.92052,44863.69919,38130.19412,46251.66013,38747.58029,12.68796551,11.76038784,22.63926084,16.41481818,11.01609444,0.009711041,0.006085281,0.017776259,-0.096520525,0,0.113895216,0,0.113895216,2.041111111,1.685,-0.118,2.11,0.166,192,-0.96385214,-0.121386475,0.516547794,0.168961864,11,71.33333333,57.71966667,1998,579.05225,1998,71.33333333,1.533853647,932.863939,-1.240557433
1999,34024.80375,35994.388,24875.58679,37003.4123,36317.41077,11.21158464,9.233724478,16.80005762,14.76607736,11.23271603,0.019676505,0.012303826,0.010755834,-0.134425438,0.999430524,0.683143508,0.999430524,0.683143508,-1.281111111,-1.185,-1.05,-0.435,-1.31,206,-0.075731668,0.265828659,-0.197621504,-0.372506192,12,87,65.25933333,1999,756.74725,1999,87,1.730501916,1049.52755,-0.99072295
2000,32816.48005,34215.4497,28768.53345,39821.40216,34925.68788,10.55032555,9.888925048,13.4319323,11.78732755,10.7289702,0.014609526,0.013876684,-0.024516296,-0.122195307,0.589977221,0.421867882,0.589977221,0.421867882,-1.32,-1.24,-0.644,-0.365,-0.564,152,0.006219416,0.451691998,-0.275752651,-0.223250174,13,56.33333333,56.05833333,2000,632.0835,2000,56.33333333,1.966836011,1087.88214,0.883035673
2001,31585.98041,30290.38232,26365.79671,37581.25603,35688.04598,10.56999026,9.586748489,14.0270745,11.33657886,11.03627692,0.010641708,0.008763787,-0.048188988,-0.117685571,0.696469248,0.668109339,0.696469248,0.668109339,-0.596666667,-0.48,-0.184,0.445,-0.794,175,0.125937443,0.491130715,-0.251882947,-0.255253948,14,39.33333333,75.13866667,2001,837.096,2001,39.33333333,1.945170441,1094.62986,0.300088546
2002,31191.51899,32605.34085,23877.86567,35593.51866,35875.90305,10.47775117,9.227410966,13.71208879,10.97567319,11.01462564,0.014069287,0.009691728,-0.056580856,-0.134760995,0.936788155,0.661275626,0.936788155,0.661275626,-0.153333333,0.06,0.586,-0.425,-0.326,198,0.285525971,0.489711442,-0.225677947,-0.142244155,15,48.33333333,82.12966667,2002,908.08925,2002,58.66666667,3.06325793,1431.34816,-0.282858581
2003,33119.15211,36032.29264,31781.37083,40685.88005,36961.93276,9.636632551,10.74274983,14.49500417,11.95909003,10.89086519,0.017686345,0.005641232,-0.050238976,-0.109416169,0.065489749,0.28952164,0.065489749,0.28952164,0.916666667,0.505,-0.034,1.715,0.638,154,-0.025271418,-0.141425013,0.161252415,-0.089325309,16,103.3333333,67.49933333,2003,618.488,2003,103.3333333,2.47282169,1276.08065,0.175171304
2004,33193.7002,33469.34008,28256.60775,41533.00082,37092.50756,10.72786966,10.0024552,14.91791358,11.55575493,10.66624677,0.020316137,0.009037274,-0.060297617,-0.113780496,0.357630979,0.070615034,0.357630979,0.070615034,0.272222222,0.27,0.346,0.415,0.294,179,0.205682483,-0.34540399,0.219456499,0.038733654,17,59.33333333,72.55033333,2004,622.50375,2004,63,2.298227116,1233.00635,-0.033024098
2005,34373.12429,31274.63896,31932.62146,45000.06575,36357.12114,11.20249846,10.50944406,13.70092158,11.10947922,11.41125748,0.008881793,0.00842437,-0.016785936,-0.102039998,0.219248292,0.194077449,0.219248292,0.194077449,0.611111111,0.515,0.126,0.755,0.65,130,-0.99377214,0.135073788,0.593346312,0.162523659,18,129,68.20766667,2005,609.972,2005,89.66666667,2.192108489,1145.20488,1.216148317
2006,33800.05891,34084.84676,27933.5669,40194.30199,35594.29644,10.51602317,10.24741893,16.17918397,12.69329792,11.11292679,0.014047616,0.003996169,-0.024230103,-0.096997534,0.523348519,0.407061503,0.523348519,0.407061503,-0.466666667,-0.67,-0.028,0.43,0.344,196,-0.176974584,0.046878109,0.021875738,0.098031718,19,91,101.3853333,2006,767.96325,2006,96.66666667,2.685105831,1275.81902,-0.15794134
2007,31426.78597,32604.42365,26075.94044,39124.47808,33519.42378,10.27511161,9.442391736,13.97787628,11.57351906,10.84739943,0.019258945,0.011330441,-0.035770606,-0.124299459,0.809225513,0.476537585,0.809225513,0.476537585,0.483333333,0.05,-0.508,-0.185,0.468,155,0.142016193,0.037978109,-0.194979512,-0.217995502,20,99.33333333,50.8,2007,692.04975,2007,99.33333333,2.536202921,1337.91423,0.175171304
2008,29785.70072,29493.44817,22669.65847,33942.07122,34894.14644,10.4418495,8.622015649,13.77874066,11.55268775,11.04465455,0.024241608,0.006291336,-0.078279221,-0.112683188,1,0.843507973,1,0.843507973,-1.258888889,-1.405,-0.612,-0.82,-1.17,180,0.393565638,0.217662841,-0.267337947,-0.135324479,21,41.33333333,67.43733333,2008,987.68,2008,41.33333333,2.534450509,1252.41123,-1.03236203
2009,29920.27246,31043.54918,23992.17348,36088.97366,37006.04828,10.45179994,8.885978974,12.79622109,11.71460966,10.95815823,0.01682921,0.009705049,-0.025799337,-0.106311274,1,0.634851936,1,0.634851936,-0.524444444,-0.7,0.198,-1.365,-0.542,202,0.302430334,-0.038995657,-0.259660725,-0.255453414,22,30,56.23233333,2009,845.0955,2009,30,2.891761072,1300.17186,-1.240557433
2010,33602.90691,32798.49262,32298.94068,38629.06857,36684.45227,10.78022181,10.45402446,16.2051497,12.958354,11.52223388,0.015581853,0.011625818,-0.003980801,-0.125645318,0.170842825,0.795216401,0.170842825,0.795216401,1.025555556,1.03,-0.576,0.84,-0.292,104,-0.059566029,0.314839048,0.248310156,-0.098425309,23,92.33333333,46.83833333,2010,724.11275,2010,92.33333333,2.149443235,1117.59839,1.715817283
2011,31515.81787,34225.66015,24896.34764,36888.59289,35536.59321,10.41633152,9.372672812,14.61347035,12.3217849,11.00847842,0.019975542,0.010299152,-0.019681588,-0.124974182,0.836560364,0.583826879,0.836560364,0.583826879,-1.374444444,-1.06,-0.564,-0.845,-1.134,142,0.46252415,0.276985177,-0.176879548,-0.099302632,24,87.33333333,44.96633333,2011,754.90525,2011,87.33333333,2.128504038,1141.59389,0.216810385
2012,30198.36878,29778.91212,22444.94271,37789.06004,36486.63102,10.78777525,8.946484264,13.63555824,11.65403272,10.99215836,0.012809738,0.00724145,-0.016805924,-0.104079785,1,0.593394077,1,0.593394077,-0.804444444,-0.655,-0.024,-0.945,-1.176,162,0.350314609,-0.065246867,-0.148820985,-0.034579803,25,114.6666667,52.95233333,2012,751.1175,2012,114.6666667,1.878246411,1028.57227,0.466644868
2013,31546.93697,37471.73207,23382.56906,37210.43279,36154.59469,10.1308136,9.143897686,13.23447565,11.17337895,10.95500303,0.019853448,0.008056778,-0.083589085,-0.099125108,0.930523918,0.387015945,0.930523918,0.387015945,-0.011111111,-0.385,-0.358,-0.77,-0.71,162,0.421618971,0.049791117,-0.245216651,-0.048105225,26,36.33333333,60.65033333,2013,735.0215,2013,36.33333333,2.252250239,1093.88854,-0.532693064
2014,31463.51486,27352.85525,26796.62364,40167.34547,45694.99263,11.3109031,9.505721099,11.98117069,11.09606028,10.83679139,0.014852685,-0.001511887,-0.00463733,-0.089673124,0.63952164,0.159908884,0.63952164,0.159908884,-0.305555556,-0.365,0.106,0.225,0.59,134,0.298798057,-0.493595502,-0.138022742,0.241861159,27,108,58.71633333,2014,639.656,2014,96.66666667,2.441411692,1247.18289,0.716479351
2015,40370.60122,45986.13658,36565.02522,42309.3008,43221.8737,11.63809594,11.39814021,13.36496806,11.57096307,10.86910511,0.016043923,0.000828322,-0.046509336,-0.101282424,0,0.193621868,0,0.193621868,0.41,0.5,1.238,1.695,1.172,176,-0.332056332,-0.98142484,0.390777053,0.520410867,28,99.66666667,65.76666667,2015,786.99575,2015,82.33333333,2.41368276,1182.90803,-0.407775823
2016,39675.01334,40822.54343,35955.26358,43106.40947,42503.45277,11.86487785,11.29194522,16.08180275,13.21548652,10.79098643,0.012395165,0.003983902,-0.006535825,-0.121173815,0.001138952,0.149886105,0.001138952,0.149886105,2.152222222,1.86,0.072,2.13,1.226,161,-1.007557695,-0.729988558,0.515065942,0.293343808,29,81.33333333,63.358,2016,740.44225,2016,81.33333333,2.468848108,1250.48547,0.050254063
2017,37167.38642,43988.73342,30427.86215,42975.94457,39535.64007,11.12252463,10.34694568,15.07608974,12.1556456,11.52968671,0.01225607,0.012644896,0.001231937,-0.121873626,0.355353075,0.2523918,0.355353075,0.2523918,-0.433333333,-0.055,0.168,0.745,0.5,167,-0.857843251,0.013344775,0.386072979,0.019857608,30,115.6666667,61.60833333,2017,759.72275,2017,115.6666667,1.946991421,1083.95511,0.425005787
2018,34916.98752,36333.22459,28075.98246,41540.55749,38975.46699,11.09268778,10.12871959,13.9417195,11.38335346,11.02224167,0.015444097,0.011698479,-0.074296463,-0.123552606,0.407175399,0.210022779,0.407175399,0.210022779,-0.586666667,-0.775,-0.082,-0.065,-0.132,188,0.122942265,0.189536442,0.07616538,-0.356038137,31,82.33333333,59.944,2018,759.8565,2018,84.66666667,1.932662866,1066.18875,-0.19958042
2019,35490.30609,35936.92818,29921.02261,44875.97556,39158.0446,11.10630283,10.53948284,14.73466975,12.12344013,10.70405491,-0.000485013,-0.007130805,-0.004604359,-0.060551539,0.338838269,0.224601367,0.338838269,0.224601367,0.606666667,0.715,0.414,0.105,0.49,143,0.400050082,-0.237920502,0.059017602,0.308699364,32,78.66666667,63.425,2019,807.344,2019,78.66666667,2.034479229,1073.3241,-0.19958042
2020,35511.38781,32409.50954,26988.10644,42036.29268,38195.77443,11.90677116,9.807267127,12.95033645,10.69873176,10.6476419,-0.001650287,0.000926593,-0.039947342,-0.066442193,0.673690205,0.27904328,0.673690205,0.27904328,0.377777778,0.44,-0.234,-0.88,-0.642,116,0.643443416,0.207398942,-0.223252206,0.142340941,33,36,57.247,2020,817.16975,2020,36,1.920762555,1125.02678,1.049591995
2021,33581.64389,33121.86703,25187.30221,37935.71029,38964.497,11.20805369,9.438494336,12.47248904,10.76633767,10.66184036,-0.000720754,-0.011980578,-0.043598126,-0.057658082,0.768792711,0.46856492,0.768792711,0.46856492,-0.924444444,-0.885,-0.482,-0.88,-1.228,179,0.537722305,0.201816843,-0.26458591,0.089968808,34,57,69.69133333,2021,1023.359,2021,79,2.448504668,1186.6237,-1.323835594
2022,33939.69969,37778.60623,25095.03291,39642.29638,34974.03628,10.94791446,9.434618651,13.02139556,10.37509031,10.60513472,-0.00160317,-0.006488204,-0.048922311,-0.06070206,,,,,-0.802222222,-0.96,-0.924,-1.285,-1.772,135,0.225826749,0.285715609,-0.280673317,0.116371345,35,147.6666667,42.875,2022,505.743,2022,138,1.832368667,1067.12849,2.048929927
2023,31851.94383,30499.00284,23532.39219,39950.0268,41952.93025,10.67619618,9.390183998,16.52651974,11.58572209,10.99049071,-0.001024058,-0.008054208,-0.014051565,-0.04865081,,,,,-0.747777778,-0.29,0.76,-1.36,-1.858,152,0.281058932,0.046962624,-0.12047554,0.081482227,36,78.66666667,NA,2023,NA,2023,78.66666667,2.204737315,1108.20636,0.050254063
2024,37682.03548,40009.82349,31704.61645,38487.74326,35843.58078,11.5897033,10.9434677,16.74041678,12.11907399,10.59843787,0.005820387,-0.006387431,-0.00613578,-0.066983088,,,,,1.557777778,1.315,0.55,-0.495,-1.853333333,166,0.104020538,0.423170895,-0.007536997,0.029334739,37,54.66666667,NA,2024,NA,2024,82.66666667,2.4535696,1202.41914,-0.99072295
2025,33153.67435,34603.7197,,,,10.59669245,10.98059109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,