Datatreatment,Y_rec,sd,type,year
Unexpanded PacFIN,-0.0811296,NA,Main_RecrDev,1978
Unexpanded PacFIN,-0.588992,NA,Main_RecrDev,1979
Unexpanded PacFIN,-0.28468,NA,Main_RecrDev,1980
Unexpanded PacFIN,0.118503,NA,Main_RecrDev,1981
Unexpanded PacFIN,-0.452251,NA,Main_RecrDev,1982
Unexpanded PacFIN,0.179471,NA,Main_RecrDev,1983
Unexpanded PacFIN,0.595513,NA,Main_RecrDev,1984
Unexpanded PacFIN,0.0508196,NA,Main_RecrDev,1985
Unexpanded PacFIN,0.160862,NA,Main_RecrDev,1986
Unexpanded PacFIN,0.425757,NA,Main_RecrDev,1987
Unexpanded PacFIN,-0.173191,NA,Main_RecrDev,1988
Unexpanded PacFIN,0.703637,NA,Main_RecrDev,1989
Unexpanded PacFIN,0.770016,NA,Main_RecrDev,1990
Unexpanded PacFIN,0.498112,NA,Main_RecrDev,1991
Unexpanded PacFIN,0.0781168,NA,Main_RecrDev,1992
Unexpanded PacFIN,-0.183704,NA,Main_RecrDev,1993
Unexpanded PacFIN,0.17719,NA,Main_RecrDev,1994
Unexpanded PacFIN,0.138858,NA,Main_RecrDev,1995
Unexpanded PacFIN,-0.370337,NA,Main_RecrDev,1996
Unexpanded PacFIN,-0.012926,NA,Main_RecrDev,1997
Unexpanded PacFIN,0.368829,NA,Main_RecrDev,1998
Unexpanded PacFIN,0.206017,NA,Main_RecrDev,1999
Unexpanded PacFIN,0.659398,NA,Main_RecrDev,2000
Unexpanded PacFIN,-0.0263508,NA,Main_RecrDev,2001
Unexpanded PacFIN,-0.818246,NA,Main_RecrDev,2002
Unexpanded PacFIN,-0.447866,NA,Main_RecrDev,2003
Unexpanded PacFIN,7.66765e-05,NA,Main_RecrDev,2004
Unexpanded PacFIN,-0.821131,NA,Main_RecrDev,2005
Unexpanded PacFIN,0.504081,NA,Main_RecrDev,2006
Unexpanded PacFIN,-0.343247,NA,Main_RecrDev,2007
Unexpanded PacFIN,0.883224,NA,Main_RecrDev,2008
Unexpanded PacFIN,-0.612555,NA,Main_RecrDev,2009
Unexpanded PacFIN,0.426268,NA,Main_RecrDev,2010
Unexpanded PacFIN,-0.080366,NA,Main_RecrDev,2011
Unexpanded PacFIN,0.171323,NA,Main_RecrDev,2012
Unexpanded PacFIN,0.268403,NA,Main_RecrDev,2013
Unexpanded PacFIN,0.489374,NA,Main_RecrDev,2014
Unexpanded PacFIN,-0.000596265,NA,Main_RecrDev,2015
Unexpanded PacFIN,-0.0572537,NA,Main_RecrDev,2016
Unexpanded PacFIN,-0.636629,NA,Main_RecrDev,2017
Unexpanded PacFIN,-0.710712,NA,Main_RecrDev,2018
Unexpanded PacFIN,-0.475455,NA,Late_RecrDev,2019
Unexpanded PacFIN,-0.282589,NA,Late_RecrDev,2020
Unexpanded PacFIN,-0.077653,NA,Late_RecrDev,2021
Expanded PacFIN,0.0855595,0.279557,Main_RecrDev,1978
Expanded PacFIN,-0.412938,0.325182,Main_RecrDev,1979
Expanded PacFIN,-0.255681,0.297143,Main_RecrDev,1980
Expanded PacFIN,0.0905066,0.245403,Main_RecrDev,1981
Expanded PacFIN,-0.265213,0.316932,Main_RecrDev,1982
Expanded PacFIN,-0.049798,0.288917,Main_RecrDev,1983
Expanded PacFIN,0.278592,0.258358,Main_RecrDev,1984
Expanded PacFIN,0.266468,0.275108,Main_RecrDev,1985
Expanded PacFIN,0.20073,0.289302,Main_RecrDev,1986
Expanded PacFIN,0.488005,0.216909,Main_RecrDev,1987
Expanded PacFIN,-0.137445,0.341254,Main_RecrDev,1988
Expanded PacFIN,0.769367,0.202747,Main_RecrDev,1989
Expanded PacFIN,0.750212,0.24043,Main_RecrDev,1990
Expanded PacFIN,0.401394,0.300028,Main_RecrDev,1991
Expanded PacFIN,0.0501886,0.311778,Main_RecrDev,1992
Expanded PacFIN,-0.304743,0.34579,Main_RecrDev,1993
Expanded PacFIN,0.109818,0.281596,Main_RecrDev,1994
Expanded PacFIN,0.229606,0.248519,Main_RecrDev,1995
Expanded PacFIN,-0.455673,0.341581,Main_RecrDev,1996
Expanded PacFIN,-0.0616967,0.276383,Main_RecrDev,1997
Expanded PacFIN,0.376308,0.23449,Main_RecrDev,1998
Expanded PacFIN,0.394028,0.242449,Main_RecrDev,1999
Expanded PacFIN,0.700522,0.177645,Main_RecrDev,2000
Expanded PacFIN,-0.0805439,0.262083,Main_RecrDev,2001
Expanded PacFIN,-0.639367,0.303338,Main_RecrDev,2002
Expanded PacFIN,-0.216303,0.234503,Main_RecrDev,2003
Expanded PacFIN,-0.101498,0.213368,Main_RecrDev,2004
Expanded PacFIN,-0.771606,0.314907,Main_RecrDev,2005
Expanded PacFIN,0.450327,0.144747,Main_RecrDev,2006
Expanded PacFIN,-0.46629,0.300946,Main_RecrDev,2007
Expanded PacFIN,0.857568,0.1224,Main_RecrDev,2008
Expanded PacFIN,-0.652778,0.299974,Main_RecrDev,2009
Expanded PacFIN,0.58914,0.142581,Main_RecrDev,2010
Expanded PacFIN,-0.315848,0.273525,Main_RecrDev,2011
Expanded PacFIN,0.17152,0.213521,Main_RecrDev,2012
Expanded PacFIN,0.0159062,0.256361,Main_RecrDev,2013
Expanded PacFIN,0.204692,0.234496,Main_RecrDev,2014
Expanded PacFIN,-0.202492,0.29169,Main_RecrDev,2015
Expanded PacFIN,-0.151917,0.274271,Main_RecrDev,2016
Expanded PacFIN,-0.597236,0.314206,Main_RecrDev,2017
Expanded PacFIN,-0.761237,0.325427,Main_RecrDev,2018
Expanded PacFIN,-0.533968,0.350184,Late_RecrDev,2019
Expanded PacFIN,-0.336705,0.41188,Late_RecrDev,2020
Expanded PacFIN,-0.110646,0.478918,Late_RecrDev,2021
2017 Assessment,-0.0750938,0.282893,Main_RecrDev,1993
2018 Assessment,0.3713,0.207673,Main_RecrDev,1994
2019 Assessment,0.294065,0.216216,Main_RecrDev,1995
2020 Assessment,-0.300866,0.299939,Main_RecrDev,1996
2021 Assessment,-0.0262369,0.251351,Main_RecrDev,1997
2022 Assessment,0.488059,0.196957,Main_RecrDev,1998
2023 Assessment,0.39868,0.225575,Main_RecrDev,1999
2024 Assessment,0.677969,0.176911,Main_RecrDev,2000
2025 Assessment,-0.0174897,0.249959,Main_RecrDev,2001
2026 Assessment,-0.508487,0.287332,Main_RecrDev,2002
2027 Assessment,-0.288797,0.242626,Main_RecrDev,2003
2028 Assessment,-0.0738993,0.202608,Main_RecrDev,2004
2029 Assessment,-0.92342,0.306746,Main_RecrDev,2005
2030 Assessment,0.261821,0.160438,Main_RecrDev,2006
2031 Assessment,-0.806397,0.288319,Main_RecrDev,2007
2032 Assessment,0.399459,0.171487,Main_RecrDev,2008
2033 Assessment,-0.76894,0.307697,Main_RecrDev,2009
2034 Assessment,0.474934,0.225107,Main_RecrDev,2010
2035 Assessment,-0.448451,0.370634,Main_RecrDev,2011
2036 Assessment,-0.218587,0.43534,Late_RecrDev,2012
2037 Assessment,0.0738459,0.501232,Late_RecrDev,2013
2038 Assessment,0.0104437,0.500226,Late_RecrDev,2014