year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,lusi_annual,ZOOpjuvN,ZOObenN,ZOOpjuvS,ZOObenS,X,CutiSTIpjuv,CutiTUMIpjuv,Year,BeutiTUMIpjuv,Year.1,BeutiSTIpjuv,CHLpjuv,PPpjuv,bakun_sti
1993,30563.2443451111,,29306.6523601695,46516.1005921569,35567.7860594262,,10.071290349925,14.9112366775,12.170470335,11.197682304,0.0105719195,0.0096252214,0.0076183625,-0.0909590988,0.573462414578588,0.200683371298405,0.573462414578588,0.200683371298405,0.0622222222222222,0.4,0.502,0.55,1.94,162,,,,,6,1.86156134044624,-0.984309186526296,1993,-1.29817974465447,1993,1.58899990586429,,,2.21548624880941
1994,32852.7768909854,30939.8485534426,28754.1229774576,41813.0780321568,37359.1715472951,10.712745093663,10.0237094052917,13.923875385,12.032958115,10.845332224,0.0143881755,0.010791482,-0.0222279915,-0.1204765054,0.295558086560364,0.170615034168565,0.295558086560364,0.170615034168565,0.135555555555556,0.12,0.402,0.55,0.134,177,,,,,7,0.381042599729837,-0.725166986953714,1994,-1.31869210893612,1994,0.378333310920069,,,0.0918931431780964
1995,34521.6997182117,30534.471652459,32563.9231194915,41866.2812577778,38979.6630939344,11.4587982108696,10.566410615,15.0585970425,11.84879909,10.914638074,0.013977656,0.014952145,-0.008593849,-0.1220054,0.197038724373576,0.262414578587699,0.197038724373576,0.262414578587699,0.718888888888889,0.625,-0.074,0.76,1.22,166,,,,,8,0.0894252720129687,-1.14778450214567,1995,-1.18118825984768,1995,0.189166655460035,,,-0.532693064360526
1996,35897.5611485818,35309.5542557377,31643.4695131667,41029.7258048366,35151.6350667213,11.0253207611957,10.8106661455537,15.12993445,11.895701495,11.20138152,0.0209733525,0.0130108348,-0.043861582,-0.1211436718,0.100227790432802,0.312756264236902,0.100227790432802,0.312756264236902,-0.753333333333333,-0.67,-0.318,1.105,1.038,134,-0.4770761135,0.21123601,0.082171164,-0.02765,9,1.36805509354078,-0.280630249742413,1996,-1.25230184808888,1996,1.32416658822024,,,1.21614831674762
1997,31841.6333881752,30660.9584306557,27106.3865516949,44850.3530821569,47657.2154834427,10.52898956275,9.71290475365,13.42029653,10.98845313,10.725216586,0.0210490135,0.0088120686,-0.074879495,-0.0918396176,0.525056947608201,0.0662870159453302,0.525056947608201,0.0662870159453302,-0.36,-0.23,1.15,0.715,1.958,107,-0.331402624,-0.86364272475,0.01720457,0.240013011,10,0.605363621050504,-2.56406453777478,1997,-1.73474613590076,1997,0.302666648736056,,,0.549923028706419
1998,43451.9205183942,44863.6991918033,38130.1941235593,46251.6601257516,38747.5802942623,12.6879655125,11.760387835,22.6392608375,16.41481818,11.016094444,0.0097110405,0.00608528103257613,0.017776259,-0.096520525,0,0.113895216400911,0,0.113895216400911,2.04111111111111,1.685,-0.118,2.11,0.166,192,-0.9638521398,-0.1213864745,0.5165477938,0.16896186375,11,-0.3704328216944,-0.128553994905883,1998,-1.12387740879255,1998,-0.32788886946406,-1.96633261194421,-2.08376023385954,-1.2405574329043
1999,34024.8037487226,35994.3879986885,24875.5867938983,37003.4123005229,36317.4107685246,11.2115846395652,9.2337244778,16.80005762,14.766077355,11.232716032,0.019676505,0.0123038256,0.010755834,-0.134425438,0.999430523917995,0.683143507972665,0.999430523917995,0.683143507972665,-1.28111111111111,-1.185,-1.05,-0.435,-1.31,206,-0.0757316676,0.26582865875,-0.1976215038,-0.37250619225,12,0.156721578409169,0.473865060811717,1999,0.316208167113415,1999,0.264833317644049,-1.41518399632868,-1.02589420798273,-0.990722949888849
2000,32816.4800549091,34215.4496985246,28768.5334513333,39821.4021571242,34925.687880082,10.550325549837,9.88892504776859,13.4319322975,11.78732755,10.7289702,0.014609526,0.013876684,-0.0245162955,-0.1221953072,0.58997722095672,0.421867881548975,0.58997722095672,0.421867881548975,-1.32,-1.24,-0.644,-0.365,-0.564,152,0.0062194158,0.4516919975,-0.2757526508,-0.2232501735,13,-0.875155119665903,-0.261294459722918,2000,-0.697550968890767,2000,-0.895388835844164,-0.752807410964017,-0.678107852085354,0.883035672727018
2001,31585.9804114598,30290.3823208197,26365.7967135593,37581.2560336601,35688.045975082,10.5699902581304,9.58674848861667,14.027074495,11.33657886,11.036276918,0.0106417075,0.0087637872,-0.0481889875,-0.1176855708,0.696469248291572,0.668109339407745,0.696469248291572,0.668109339407745,-0.596666666666667,-0.48,-0.184,0.445,-0.794,175,0.1259374426,0.491130715,-0.251882947,-0.255253948333333,14,-1.44717372403361,1.26322338670403,2001,0.964234501229103,2001,-1.53855546440828,-0.813529780083569,-0.616921840337265,0.30008854569097
2002,31191.5189881752,32605.3408493443,23877.8656689831,35593.5186605229,35875.903054918,10.47775117275,9.22741096581667,13.7120887875,10.975673185,11.014625638,0.014069287,0.0096917282,-0.056580856,-0.1347609948,0.936788154897494,0.66127562642369,0.936788154897494,0.66127562642369,-0.153333333333333,0.06,0.586,-0.425,-0.326,198,0.2855259712,0.48971144225,-0.2256779472,-0.142244155,15,-1.1443403452507,1.82180399838293,2002,1.53836357694001,2002,-0.807111063296148,2.32014829923524,2.4363253680305,-0.282858581345077
2003,33119.152105292,36032.2926354098,31781.370831017,40685.8800497386,36961.9327567213,9.63663255058695,10.74274982925,14.49500417,11.95909003,10.89086519,0.017686345,0.005641232,-0.0502389755,-0.1094161694,0.0654897494305239,0.289521640091116,0.0654897494305239,0.289521640091116,0.916666666666667,0.505,-0.034,1.715,0.638,154,-0.0252714176,-0.141425013333333,0.1612524154,-0.0893253086666667,16,0.706308080644805,0.652840968430191,2003,-0.813974354217907,2003,0.882777725480162,0.665325110388095,1.028412292537,0.175171304183246
2004,33193.7002018545,33469.3400801639,28256.607747,41533.0008186275,37092.5075578688,10.7278696616304,10.0024552009587,14.9179135775,11.55575493,10.666246772,0.0203161365,0.009037274,-0.0602976165,-0.1137804956,0.357630979498861,0.0706150341685649,0.357630979498861,0.0706150341685649,0.272222222222222,0.27,0.346,0.415,0.294,179,0.2056824832,-0.34540399025,0.2194564988,0.038733654,17,-0.774210660071602,1.0564156601181,2004,-0.783412757291191,2004,-0.643166628564118,0.175986668404567,0.637829227605556,-0.0330240983296281
2005,34373.1242890876,31274.6389632787,31932.6214574576,45000.0657498039,36357.1211391803,11.2024984647826,10.5094440555167,13.7009215775,11.10947922,11.41125748,0.008881793,0.00842437,-0.016785936,-0.1020399984,0.219248291571754,0.194077448747153,0.219248291571754,0.194077448747153,0.611111111111111,0.515,0.126,0.755,0.65,130,-0.9937721398,0.135073788,0.593346312,0.16252365925,18,1.56994401272938,0.709436772550615,2005,-0.88714526179848,2005,0.365722200556067,-0.121433362119461,-0.1583246765408,1.21614831674762
2006,33800.058910365,34084.8467644262,27933.5669018644,40194.3019880392,35594.2964406557,10.5160231697065,10.2474189319833,16.17918397,12.69329792,11.112926794,0.0140476155,0.0039961686,-0.024230103,-0.0969975338,0.523348519362187,0.407061503416857,0.523348519362187,0.407061503416857,-0.466666666666667,-0.67,-0.028,0.43,0.344,196,-0.1769745842,0.04687810875,0.021875738,0.098031718,19,0.29131419120157,3.36033097091215,2006,0.393031123432808,2006,0.630555518200116,1.26029658162294,1.02603994757879,-0.157941339837353
2007,31426.7859681022,32604.4236490164,26075.9404394915,39124.4780814379,33519.4237817213,10.2751116145109,9.44239173564167,13.97787628,11.57351906,10.847399432,0.0192589445,0.011330441,-0.0357706055,-0.1242994586,0.809225512528474,0.476537585421412,0.809225512528474,0.476537585421412,0.483333333333333,0.05,-0.508,-0.185,0.468,155,0.1420161934,0.037978109,-0.194979512,-0.21799550225,20,0.571715467852404,-0.681435076193367,2007,-0.225086925276645,2007,0.731444401112134,0.842964495897831,1.58909815369715,0.175171304183246
2008,29785.7007166182,29493.4481693443,22669.6584675,33942.0712193464,34894.1464416393,10.4418494991522,8.62201564945455,13.778740655,11.552687745,11.044654546,0.024241608,0.0062913364,-0.078279221,-0.1126831882,1,0.843507972665148,1,0.843507972665148,-1.25888888888889,-1.405,-0.612,-0.82,-1.17,180,0.3935656378,0.21766284075,-0.2673379472,-0.135324479,21,-1.37987741763741,0.64788717098718,2008,2.17212255850149,2008,-1.46288880222427,0.838052987866898,0.813785998341914,-1.03236203039142
2009,29920.2724635036,31043.5491837705,23992.1734847458,36088.9736588889,37006.0482806557,10.4517999364783,8.88597897403333,12.7962210925,11.71460966,10.958158234,0.01682921,0.009705049,-0.025799337,-0.106311274,1,0.634851936218679,1,0.634851936218679,-0.524444444444444,-0.7,0.198,-1.365,-0.542,202,0.3024303344,-0.03899565675,-0.2596607246,-0.25545341425,22,-1.76122315388254,-0.247391866898983,2009,1.0129244786945,2009,-1.89166655460035,1.8394918649875,1.24686318978565,-1.2405574329043
2010,33602.9069136496,32798.4926232787,32298.9406759322,38629.0685745098,36684.452265,10.7802218115217,10.454024457,16.205149695,12.958353995,11.522233882,0.0155818525,0.011625818,-0.0039808005,-0.1256453178,0.170842824601367,0.795216400911162,0.170842824601367,0.795216400911162,1.02555555555556,1.03,-0.576,0.84,-0.292,104,-0.0595660286,0.314839048333333,0.2483101562,-0.0984253086666667,23,0.336178395465703,-0.997972079473958,2010,0.0290391410756979,2010,0.466611083468085,-0.241011813258987,-0.408650996972925,1.71581728277851
2011,31515.817865073,34225.6601509836,24896.34764,36888.5928924837,35536.5932055738,10.4163315204239,9.37267281220833,14.613470345,12.321784895,11.008478416,0.019975542,0.0102991516,-0.019681588,-0.1249741824,0.836560364464692,0.583826879271071,0.836560364464692,0.583826879271071,-1.37444444444444,-1.06,-0.564,-0.845,-1.134,142,0.46252415,0.27698517675,-0.1768795478,-0.09930263225,24,0.167937629475202,-1.1475448022694,2011,0.276912079582157,2011,0.277444428008051,-0.299698369717812,-0.191067986360101,0.216810384685821
2012,30198.3687804727,29778.9121226229,22444.94271,37789.0600448366,36486.6310203279,10.7877752450326,8.94648426415703,13.635558235,11.654032715,10.992158356,0.0128097375,0.0072414504,-0.016805924,-0.1040797854,1,0.593394077448747,1,0.593394077448747,-0.804444444444444,-0.655,-0.024,-0.945,-1.176,162,0.350314609,-0.0652468665,-0.1488209854,-0.03457980325,25,1.08765381688994,-0.509463731626032,2012,0.244143019446595,2012,1.31155547785624,-1.00109861346396,-1.21590961205934,0.46664486770127
2013,31546.9369742701,37471.7320745902,23382.5690557627,37210.4327871896,36154.5946907377,10.13081359825,9.14389768604167,13.2344756525,11.17337895,10.955003026,0.0198534475,0.0080567778,-0.083589085,-0.0991251084,0.930523917995444,0.387015945330296,0.930523917995444,0.387015945330296,-0.0111111111111111,-0.385,-0.358,-0.77,-0.71,162,0.4216189714,0.04979111675,-0.2452166506,-0.0481052245,26,-1.54811818362791,0.105606150894956,2013,0.111484230885363,2013,-1.6520554576843,0.0471266882180608,-0.623643853759613,-0.532693064360526
2014,31463.514859562,27352.8552529508,26796.6236350848,40167.3454745752,45694.9926334426,11.3109030979348,9.50572109885,11.981170685,11.096060275,10.836791394,0.0148526845,-0.0015118868,-0.0046373295,-0.0896731242,0.639521640091116,0.159908883826879,0.639521640091116,0.159908883826879,-0.305555555555556,-0.365,0.106,0.225,0.59,134,0.2987980566,-0.49359550225,-0.1380227422,0.24186115925,27,0.863332795569273,-0.0489203693434961,2014,-0.664499890205828,2014,0.630555518200116,0.577291907964995,0.766377271033025,0.716479350716719
2015,40370.6012192336,45986.1365777049,36565.0252162712,42309.3007992157,43221.8736952459,11.6380959397826,11.3981402055833,13.3649680575,11.570963065,10.869105112,0.016043923,0.000828322,-0.046509336,-0.101282424,0,0.193621867881549,0,0.193621867881549,0.41,0.5,1.238,1.695,1.172,176,-0.3320563324,-0.981424840333333,0.3907770528,0.520410866666667,28,0.582931518918438,0.514400973221734,2015,0.52923240609895,2015,0.088277772548016,0.499575675902596,0.183554680680715,-0.407775822852802
2016,39675.0133354182,40822.5434267213,35955.2635818333,43106.4094728758,42503.4527736065,11.8648778542391,11.2919452186777,16.081802745,13.215486515,10.790986426,0.012395165,0.0039839024,-0.0065358245,-0.121173815,0.0011389521640091,0.149886104783599,0.0011389521640091,0.149886104783599,2.15222222222222,1.86,0.072,2.13,1.226,161,-1.0075576954,-0.729988558,0.5150659418,0.29334380775,29,-0.0339512897133987,0.321948605892702,2016,0.149390511644163,2016,0.0504444414560091,0.654188300858485,0.796323940364704,0.0502540626755215
2017,37167.3864212044,43988.7334227869,30427.8621547458,42975.9445730065,39535.6400680328,11.1225246332609,10.346945676275,15.07608974,12.155645595,11.529686712,0.0122560695,0.0126448956,0.0012319365,-0.1218736258,0.355353075170843,0.252391799544419,0.355353075170843,0.252391799544419,-0.433333333333333,-0.055,0.168,0.745,0.5,167,-0.8578432508,0.01334477525,0.3860729788,0.01985760775,30,1.12130197008804,0.182150311385357,2017,0.303835823054244,2017,1.34938880894825,-0.808426098642226,-0.713716781303707,0.425005787198695
2018,34916.9875151825,36333.2245878689,28075.9824637288,41540.5574891503,38975.466992623,11.0926877841304,10.12871959425,13.9417194975,11.38335346,11.022241668,0.0154440965,0.0116984792,-0.074296463,-0.1235526062,0.407175398633258,0.21002277904328,0.407175398633258,0.21002277904328,-0.586666666666667,-0.775,-0.082,-0.065,-0.132,188,0.122942265,0.189536442,0.0761653796,-0.3560381365,31,-0.00030313651529857,0.0491701466920469,2018,0.302892376865945,2018,0.176555545096033,-0.848584922586477,-0.874816150518356,-0.199580420339927
2019,35490.3060922628,35936.9281822951,29921.0226054237,44875.9755564706,39158.0445961476,11.1063028345652,10.5394828354083,14.7346697525,12.12344013,10.70405491,-0.0004850125,-0.007130805,-0.004604359,-0.0605515392,0.338838268792711,0.224601366742597,0.338838268792711,0.224601366742597,0.606666666666667,0.715,0.414,0.105,0.49,143,0.4000500824,-0.23792050225,0.059017602,0.3086993635,32,-0.123679698241666,0.327301903129504,2019,0.68625647368898,2019,-0.0504444414560091,-0.563222900241192,-0.810115168805121,-0.199580420339927
2020,35511.3878137818,32409.5095422951,26988.1064381667,42036.2926787582,38195.7744339344,11.9067711640217,9.80726712708264,12.9503364475,10.698731755,10.647641904,-0.001650287,0.0009265926,-0.0399473415,-0.066442193,0.67369020501139,0.279043280182232,0.67369020501139,0.279043280182232,0.377777777777778,0.44,-0.234,-0.88,-0.642,116,0.6434434156,0.207398942,-0.2232522062,0.142340941,33,-1.55933423469394,-0.166320042078947,2020,0.763970128629607,2020,-1.66466656804831,-0.881938074476749,-0.341292864368139,1.04959199473732
2021,33581.6438894525,33121.8670255738,25187.3022072882,37935.7102920261,38964.4969957377,11.2080536879348,9.43849433559166,12.472489035,10.76633767,10.661840356,-0.0007207535,-0.0119805784,-0.043598126,-0.0576580822,0.76879271070615,0.468564920273349,0.76879271070615,0.468564920273349,-0.924444444444445,-0.885,-0.482,-0.88,-1.228,179,0.5377223048,0.20181684325,-0.26458591,0.089968808,34,-0.852723017533836,0.827981678028269,2021,2.43530571459995,2021,-0.0378333310920069,0.59717148208047,0.217247041957604,-1.32383559390945
2022,33939.699685365,37778.6062257377,25095.0329066102,39642.296378366,34974.0362830328,10.9479144557609,9.4346186508,13.0213955625,10.37509031,10.605134716,-0.00160317,-0.0064882036,-0.048922311,-0.0607020602,,,,,-0.802222222222222,-0.96,-0.924,-1.285,-1.772,135,0.225826749,0.28571560875,-0.2806733174,0.1163713445,35,2.19804287242725,-1.31464224935248,2022,0.540462469151946,2022,2.1943332033364,-1.12968075257993,-0.866294905476476,2.04892992679911
2023,31851.9438293431,30499.0028372131,23532.3921857627,39950.0267978431,41952.9302454918,10.676196183087,9.39018399826667,16.5265197425,11.58572209,10.990490708,-0.001024058,-0.008054208,-0.014051565,-0.0486508104,,,,,-0.747777777777778,-0.29,0.76,-1.36,-1.858,152,0.2810589316,0.046962624,-0.1204755396,0.0814822265,36,-0.123679698241666,0.409518960691742,2023,1.18062065716676,2023,-0.0504444414560091,-0.0860383891262399,-0.493814707432755,0.0502540626755215
2024,37682.0354753818,40009.8234931148,31704.616448,38487.7432586275,35843.5807785246,11.5897033045652,10.9434676990083,16.7404167775,12.119073985,10.598437866,0.005820387,-0.0063874312,-0.0061357795,-0.066983088,,,,,1.55777777777778,1.315,0.55,-0.495,-1.85333333333333,166,0.104020538,0.423170895,-0.0075369968,0.029334739,37,-0.93123537499607,-0.178198502614339,2024,0.819272351293765,2024,0.100888882912019,0.611367032105847,0.360474726249651,-0.990722949888849
2025,33153.6743472973,34603.7196988525,,,,10.5966924468587,10.98059109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
