year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv
1993,30563.24434,,29306.65236,46516.10059,35567.78606,,10.07129035,14.91123668,12.17047033,11.1976823,0.010571919,0.009625221,0.007618362,-0.090959099
1994,32852.77689,30939.84855,28754.12298,41813.07803,37359.17155,10.71274509,10.02370941,13.92387538,12.03295811,10.84533222,0.014388176,0.010791482,-0.022227991,-0.120476506
1995,34521.69972,30534.47165,32563.92312,41866.28126,38979.66309,11.45879821,10.56641062,15.05859704,11.84879909,10.91463808,0.013977656,0.014952145,-0.008593849,-0.1220054
1996,35897.56115,35309.55426,31643.46951,41029.72581,35151.63507,11.02532076,10.81066615,15.12993445,11.89570149,11.20138152,0.020973353,0.013010835,-0.043861582,-0.121143672
1997,31841.63339,30660.95843,27106.38655,44850.35308,47657.21548,10.52898956,9.712904754,13.42029653,10.98845313,10.72521659,0.021049014,0.008812069,-0.074879495,-0.091839617
1998,43451.92052,44863.69919,38130.19412,46251.66013,38747.58029,12.68796551,11.76038784,22.63926084,16.41481818,11.01609444,0.009711041,0.006085281,0.017776259,-0.096520525
1999,34024.80375,35994.388,24875.58679,37003.4123,36317.41077,11.21158464,9.233724478,16.80005762,14.76607735,11.23271603,0.019676505,0.012303826,0.010755834,-0.134425438
2000,32816.48005,34215.4497,28768.53345,39821.40216,34925.68788,10.55032555,9.888925048,13.43193229,11.78732755,10.7289702,0.014609526,0.013876684,-0.024516296,-0.122195307
2001,31585.98041,30290.38232,26365.79671,37581.25603,35688.04598,10.56999026,9.586748489,14.02707449,11.33657886,11.03627692,0.010641707,0.008763787,-0.048188987,-0.117685571
2002,31191.51899,32605.34085,23877.86567,35593.51866,35875.90305,10.47775117,9.227410966,13.71208879,10.97567318,11.01462564,0.014069287,0.009691728,-0.056580856,-0.134760995
2003,33119.15211,36032.29264,31781.37083,40685.88005,36961.93276,9.63663255,10.74274983,14.49500417,11.95909003,10.89086519,0.017686345,0.005641232,-0.050238975,-0.109416169
2004,33193.7002,33469.34008,28256.60775,41533.00082,37092.50756,10.72786966,10.0024552,14.91791358,11.55575493,10.66624677,0.020316137,0.009037274,-0.060297616,-0.113780496
2005,34373.12429,31274.63896,31932.62146,45000.06575,36357.12114,11.20249846,10.50944406,13.70092157,11.10947922,11.41125748,0.008881793,0.00842437,-0.016785936,-0.102039998
2006,33800.05891,34084.84676,27933.5669,40194.30199,35594.29644,10.51602317,10.24741893,16.17918397,12.69329792,11.1129268,0.014047616,0.003996169,-0.024230103,-0.096997534
2007,31426.78597,32604.42365,26075.94044,39124.47808,33519.42378,10.27511161,9.442391736,13.97787628,11.57351906,10.84739943,0.019258945,0.011330441,-0.035770605,-0.124299459
2008,29785.70072,29493.44817,22669.65847,33942.07122,34894.14644,10.4418495,8.622015649,13.77874065,11.55268774,11.04465455,0.024241608,0.006291337,-0.078279221,-0.112683188
2009,29920.27246,31043.54918,23992.17348,36088.97366,37006.04828,10.45179994,8.885978974,12.79622109,11.71460966,10.95815823,0.01682921,0.009705049,-0.025799337,-0.106311274
2010,33602.90691,32798.49262,32298.94068,38629.06858,36684.45226,10.78022181,10.45402446,16.2051497,12.958354,11.52223388,0.015581852,0.011625818,-0.003980801,-0.125645318
2011,31515.81787,34225.66015,24896.34764,36888.59289,35536.59321,10.41633152,9.372672812,14.61347035,12.32178489,11.00847842,0.019975542,0.010299151,-0.019681588,-0.124974182
2012,30198.36878,29778.91212,22444.94271,37789.06005,36486.63102,10.78777524,8.946484264,13.63555823,11.65403272,10.99215836,0.012809737,0.00724145,-0.016805924,-0.104079785
2013,31546.93697,37471.73207,23382.56906,37210.43279,36154.59469,10.1308136,9.143897686,13.23447565,11.17337895,10.95500302,0.019853448,0.008056778,-0.083589085,-0.099125108
2014,31463.51486,27352.85525,26796.62364,40167.34547,45694.99263,11.3109031,9.505721099,11.98117068,11.09606027,10.83679139,0.014852685,-0.001511887,-0.00463733,-0.089673124
2015,40370.60122,45986.13658,36565.02522,42309.3008,43221.87369,11.63809594,11.39814021,13.36496806,11.57096307,10.86910511,0.016043923,0.000828322,-0.046509336,-0.101282424
2016,39675.01334,40822.54343,35955.26358,43106.40947,42503.45277,11.86487785,11.29194522,16.08180275,13.21548651,10.79098643,0.012395165,0.003983902,-0.006535824,-0.121173815
2017,37167.38642,43988.73342,30427.86215,42975.94457,39535.64007,11.12252463,10.34694568,15.07608974,12.15564559,11.52968671,0.01225607,0.012644896,0.001231937,-0.121873626
2018,34916.98751,36333.22459,28075.98246,41540.55749,38975.46699,11.09268778,10.12871959,13.9417195,11.38335346,11.02224167,0.015444097,0.011698479,-0.074296463,-0.123552606
2019,35490.30609,35936.92818,29921.02261,44875.97556,39158.0446,11.10630283,10.53948284,14.73466975,12.12344013,10.70405491,-0.000485013,-0.007130805,-0.004604359,-0.060551539
2020,35511.38781,32409.50954,26988.10644,42036.29268,38195.77443,11.90677116,9.807267127,12.95033645,10.69873176,10.64764191,-0.001650287,0.000926593,-0.039947341,-0.066442193
2021,33581.64389,33121.86703,25187.30221,37935.71029,38964.497,11.20805369,9.438494336,12.47248904,10.76633767,10.66184036,-0.000720753,-0.011980578,-0.043598126,-0.057658082
2022,33939.69969,37778.60623,25095.03291,39642.29638,34974.03628,10.94791446,9.434618651,12.83901573,10.83125979,10.68550444,-0.001830973,-0.006253788,-0.048922311,-0.06070206
2023,31851.94383,30499.00284,23532.39219,39950.0268,41952.93025,10.67619618,9.390183998,14.72705575,11.47575247,10.82732576,-0.001020409,-0.007999753,-0.014051565,-0.04865081
2024,38862.38945,40009.82349,,,,11.5897033,,,,,,,,