year,time,bakun_sti,lat
1967,1967-01-01T00:00:00Z,83,42
1968,1968-01-01T00:00:00Z,85,42
1969,1969-01-01T00:00:00Z,98,42
1970,1970-01-01T00:00:00Z,73,42
1971,1971-01-01T00:00:00Z,103,42
1972,1972-01-01T00:00:00Z,103,42
1973,1973-01-01T00:00:00Z,66,42
1974,1974-01-01T00:00:00Z,98,42
1975,1975-01-01T00:00:00Z,83,42
1976,1976-01-01T00:00:00Z,102,42
1977,1977-01-01T00:00:00Z,74,42
1978,1978-01-01T00:00:00Z,67,42
1979,1979-01-01T00:00:00Z,65,42
1980,1980-01-01T00:00:00Z,77,42
1981,1981-01-01T00:00:00Z,84,42
1982,1982-01-01T00:00:00Z,105,42
1983,1983-01-01T00:00:00Z,92,42
1984,1984-01-01T00:00:00Z,112,42
1985,1985-01-01T00:00:00Z,45,42
1986,1986-01-01T00:00:00Z,86,42
1987,1987-01-01T00:00:00Z,73,42
1988,1988-01-01T00:00:00Z,29,42
1989,1989-01-01T00:00:00Z,95,42
1990,1990-01-01T00:00:00Z,79,42
1991,1991-01-01T00:00:00Z,71,42
1992,1992-01-01T00:00:00Z,120,42
1993,1993-01-01T00:00:00Z,155,42
1994,1994-01-01T00:00:00Z,63,42
1995,1995-01-01T00:00:00Z,101,42
1996,1996-01-01T00:00:00Z,116,42
1997,1997-01-01T00:00:00Z,78,42
1998,1998-01-01T00:00:00Z,72,42
1999,1999-01-01T00:00:00Z,89,42
2000,2000-01-01T00:00:00Z,74,42
2001,2001-01-01T00:00:00Z,65,42
2002,2002-01-01T00:00:00Z,82,42
2003,2003-01-01T00:00:00Z,106,42
2004,2004-01-01T00:00:00Z,61,42
2005,2005-01-01T00:00:00Z,98,42
2006,2006-01-01T00:00:00Z,106,42
2007,2007-01-01T00:00:00Z,3,42
2008,2008-01-01T00:00:00Z,14,42
2009,2009-01-01T00:00:00Z,63,42
2010,2010-01-01T00:00:00Z,96,42
2011,2011-01-01T00:00:00Z,89,42
2012,2012-01-01T00:00:00Z,110,42
2013,2013-01-01T00:00:00Z,9,42
2014,2014-01-01T00:00:00Z,68,42
2015,2015-01-01T00:00:00Z,43,42
2016,2016-01-01T00:00:00Z,83,42
2017,2017-01-01T00:00:00Z,116,42
2018,2018-01-01T00:00:00Z,29,42
2019,2019-01-01T00:00:00Z,98,42
2020,2020-01-01T00:00:00Z,32,42
2021,2021-01-01T00:00:00Z,79,42
2022,2022-01-01T00:00:00Z,13,42
2023,2023-01-01T00:00:00Z,111,42
2024,2024-01-01T00:00:00Z,89,42
1967,1967-01-01T00:00:00Z,84,45
1968,1968-01-01T00:00:00Z,88,45
1969,1969-01-01T00:00:00Z,116,45
1970,1970-01-01T00:00:00Z,75,45
1971,1971-01-01T00:00:00Z,103,45
1972,1972-01-01T00:00:00Z,103,45
1973,1973-01-01T00:00:00Z,80,45
1974,1974-01-01T00:00:00Z,101,45
1975,1975-01-01T00:00:00Z,82,45
1976,1976-01-01T00:00:00Z,101,45
1977,1977-01-01T00:00:00Z,74,45
1978,1978-01-01T00:00:00Z,96,45
1979,1979-01-01T00:00:00Z,128,45
1980,1980-01-01T00:00:00Z,110,45
1981,1981-01-01T00:00:00Z,174,45
1982,1982-01-01T00:00:00Z,107,45
1983,1983-01-01T00:00:00Z,128,45
1984,1984-01-01T00:00:00Z,147,45
1985,1985-01-01T00:00:00Z,124,45
1986,1986-01-01T00:00:00Z,148,45
1987,1987-01-01T00:00:00Z,106,45
1988,1988-01-01T00:00:00Z,155,45
1989,1989-01-01T00:00:00Z,96,45
1990,1990-01-01T00:00:00Z,82,45
1991,1991-01-01T00:00:00Z,99,45
1992,1992-01-01T00:00:00Z,120,45
1993,1993-01-01T00:00:00Z,166,45
1994,1994-01-01T00:00:00Z,115,45
1995,1995-01-01T00:00:00Z,100,45
1996,1996-01-01T00:00:00Z,142,45
1997,1997-01-01T00:00:00Z,126,45
1998,1998-01-01T00:00:00Z,83,45
1999,1999-01-01T00:00:00Z,89,45
2000,2000-01-01T00:00:00Z,134,45
2001,2001-01-01T00:00:00Z,120,45
2002,2002-01-01T00:00:00Z,106,45
2003,2003-01-01T00:00:00Z,117,45
2004,2004-01-01T00:00:00Z,112,45
2005,2005-01-01T00:00:00Z,142,45
2006,2006-01-01T00:00:00Z,109,45
2007,2007-01-01T00:00:00Z,117,45
2008,2008-01-01T00:00:00Z,88,45
2009,2009-01-01T00:00:00Z,83,45
2010,2010-01-01T00:00:00Z,154,45
2011,2011-01-01T00:00:00Z,118,45
2012,2012-01-01T00:00:00Z,124,45
2013,2013-01-01T00:00:00Z,100,45
2014,2014-01-01T00:00:00Z,130,45
2015,2015-01-01T00:00:00Z,103,45
2016,2016-01-01T00:00:00Z,114,45
2017,2017-01-01T00:00:00Z,123,45
2018,2018-01-01T00:00:00Z,108,45
2019,2019-01-01T00:00:00Z,108,45
2020,2020-01-01T00:00:00Z,138,45
2021,2021-01-01T00:00:00Z,81,45
2022,2022-01-01T00:00:00Z,162,45
2023,2023-01-01T00:00:00Z,114,45
2024,2024-01-01T00:00:00Z,89,45
1967,1967-01-01T00:00:00Z,87,48
1968,1968-01-01T00:00:00Z,87,48
1969,1969-01-01T00:00:00Z,117,48
1970,1970-01-01T00:00:00Z,75,48
1971,1971-01-01T00:00:00Z,103,48
1972,1972-01-01T00:00:00Z,103,48
1973,1973-01-01T00:00:00Z,80,48
1974,1974-01-01T00:00:00Z,98,48
1975,1975-01-01T00:00:00Z,81,48
1976,1976-01-01T00:00:00Z,101,48
1977,1977-01-01T00:00:00Z,71,48
1978,1978-01-01T00:00:00Z,96,48
1979,1979-01-01T00:00:00Z,103,48
1980,1980-01-01T00:00:00Z,110,48
1981,1981-01-01T00:00:00Z,174,48
1982,1982-01-01T00:00:00Z,107,48
1983,1983-01-01T00:00:00Z,93,48
1984,1984-01-01T00:00:00Z,146,48
1985,1985-01-01T00:00:00Z,123,48
1986,1986-01-01T00:00:00Z,148,48
1987,1987-01-01T00:00:00Z,124,48
1988,1988-01-01T00:00:00Z,155,48
1989,1989-01-01T00:00:00Z,96,48
1990,1990-01-01T00:00:00Z,159,48
1991,1991-01-01T00:00:00Z,99,48
1992,1992-01-01T00:00:00Z,117,48
1993,1993-01-01T00:00:00Z,161,48
1994,1994-01-01T00:00:00Z,166,48
1995,1995-01-01T00:00:00Z,100,48
1996,1996-01-01T00:00:00Z,142,48
1997,1997-01-01T00:00:00Z,155,48
1998,1998-01-01T00:00:00Z,83,48
1999,1999-01-01T00:00:00Z,109,48
2000,2000-01-01T00:00:00Z,166,48
2001,2001-01-01T00:00:00Z,120,48
2002,2002-01-01T00:00:00Z,106,48
2003,2003-01-01T00:00:00Z,115,48
2004,2004-01-01T00:00:00Z,112,48
2005,2005-01-01T00:00:00Z,143,48
2006,2006-01-01T00:00:00Z,109,48
2007,2007-01-01T00:00:00Z,117,48
2008,2008-01-01T00:00:00Z,88,48
2009,2009-01-01T00:00:00Z,83,48
2010,2010-01-01T00:00:00Z,97,48
2011,2011-01-01T00:00:00Z,133,48
2012,2012-01-01T00:00:00Z,121,48
2013,2013-01-01T00:00:00Z,100,48
2014,2014-01-01T00:00:00Z,139,48
2015,2015-01-01T00:00:00Z,120,48
2016,2016-01-01T00:00:00Z,114,48
2017,2017-01-01T00:00:00Z,170,48
2018,2018-01-01T00:00:00Z,105,48
2019,2019-01-01T00:00:00Z,112,48
2020,2020-01-01T00:00:00Z,168,48
2021,2021-01-01T00:00:00Z,83,48
2022,2022-01-01T00:00:00Z,162,48
2023,2023-01-01T00:00:00Z,121,48
2024,2024-01-01T00:00:00Z,124,48