time,lusi
UTC,days
1967-01-01T00:00:00Z,188
1968-01-01T00:00:00Z,195
1969-01-01T00:00:00Z,143
1970-01-01T00:00:00Z,213
1971-01-01T00:00:00Z,188
1972-01-01T00:00:00Z,202
1973-01-01T00:00:00Z,179
1974-01-01T00:00:00Z,195
1975-01-01T00:00:00Z,192
1976-01-01T00:00:00Z,197
1977-01-01T00:00:00Z,220
1978-01-01T00:00:00Z,139
1979-01-01T00:00:00Z,160
1980-01-01T00:00:00Z,160
1981-01-01T00:00:00Z,86
1982-01-01T00:00:00Z,160
1983-01-01T00:00:00Z,161
1984-01-01T00:00:00Z,130
1985-01-01T00:00:00Z,159
1986-01-01T00:00:00Z,139
1987-01-01T00:00:00Z,196
1988-01-01T00:00:00Z,113
1989-01-01T00:00:00Z,193
1990-01-01T00:00:00Z,203
1991-01-01T00:00:00Z,207
1992-01-01T00:00:00Z,147
1993-01-01T00:00:00Z,162
1994-01-01T00:00:00Z,177
1995-01-01T00:00:00Z,166
1996-01-01T00:00:00Z,134
1997-01-01T00:00:00Z,107
1998-01-01T00:00:00Z,192
1999-01-01T00:00:00Z,206
2000-01-01T00:00:00Z,152
2001-01-01T00:00:00Z,175
2002-01-01T00:00:00Z,198
2003-01-01T00:00:00Z,154
2004-01-01T00:00:00Z,179
2005-01-01T00:00:00Z,130
2006-01-01T00:00:00Z,196
2007-01-01T00:00:00Z,155
2008-01-01T00:00:00Z,180
2009-01-01T00:00:00Z,202
2010-01-01T00:00:00Z,104
2011-01-01T00:00:00Z,142
2012-01-01T00:00:00Z,162
2013-01-01T00:00:00Z,162
2014-01-01T00:00:00Z,134
2015-01-01T00:00:00Z,176
2016-01-01T00:00:00Z,161
2017-01-01T00:00:00Z,167
2018-01-01T00:00:00Z,188
2019-01-01T00:00:00Z,143
2020-01-01T00:00:00Z,116
2021-01-01T00:00:00Z,179
2022-01-01T00:00:00Z,135
2023-01-01T00:00:00Z,152
2024-01-01T00:00:00Z,166